empId,property_code,ely,tdy,lte,uns,abs,mp
1964,RVB,0,0,0,4,0,0
2046,RVB,0,0,0,2,0,0
1858,MAY,0,0,0,1,0,0
1679,RVB,0,0,0,1,0,0
449,RVB,0,0,0,2,0,0
2163,AGB,0,0,0,8,0,0
1373,CCH,1,2,4,0,0,0
117,MER,0,0,0,10,0,0
1406,HIL,0,0,6,0,0,0
925,AWH,0,0,2,0,0,0
2105,PSL,0,0,0,10,0,0
1474,AWH,0,0,0,10,0,0
405,ABP,1,0,1,0,0,0
2076,VAL,0,0,1,0,0,0
2014,GLN,0,0,4,6,1,0
422,RVB,0,0,0,4,0,0
2082,VAL,0,0,1,0,0,0
240,AWH,0,5,3,0,2,0
782,WDL,0,0,0,10,0,0
2159,WDL,0,0,8,0,0,0
1799,RVB,0,0,0,4,0,0
2172,MAY,0,0,0,6,0,0
1296,RVB,0,0,0,11,0,0
1665,AWH,0,0,0,9,0,0
2099,HIL,1,0,1,0,0,0
1402,WDL,0,0,0,1,0,0
2023,PSL,0,0,0,10,0,0
118,MER,0,0,0,9,0,0
1920,MAY,0,0,0,0,3,0
630,HIL,0,0,3,0,0,0
116,MER,0,3,6,0,0,0
681,GLN,0,1,0,1,0,0
728,CCH,0,0,0,1,0,0
1509,CCH,0,0,0,4,0,0
854,PSL,0,0,0,9,0,0
137,MER,0,0,0,9,0,0
473,AWH,0,8,8,0,0,0
586,ABP,0,0,1,0,0,0
1966,MER,0,0,2,1,0,0
246,AWH,0,0,0,11,0,0
1335,VAL,1,0,1,0,0,0
1483,GLN,0,0,0,5,0,0
1872,AGB,1,1,4,0,0,0
2012,HIL,1,1,1,0,0,0
2030,WDL,0,0,0,1,0,0
285,CCH,3,0,9,0,0,0
252,AWH,0,5,1,1,0,0
467,AWH,8,0,5,0,2,0
164,VAL,2,0,7,0,0,0
587,ABP,1,1,1,1,0,0
468,AWH,1,0,2,0,0,0
579,ABP,0,1,8,0,0,0
1724,HIL,0,2,3,0,0,0
255,AWH,0,0,0,10,0,0
1833,RVB,0,0,0,1,0,0
1081,AGB,0,0,0,5,0,0
1168,VAL,1,0,2,0,0,0
2130,ABP,0,0,0,2,1,0
74,AGB,1,0,7,2,1,0
1669,MER,0,0,0,7,0,0
1624,MAY,1,0,0,0,1,0
1989,HIL,0,0,0,6,0,0
1161,AGB,2,0,2,1,4,0
2156,WDL,2,0,9,1,0,0
1736,GLN,0,0,0,0,6,0
153,VAL,0,0,7,0,0,0
1768,WDL,0,0,1,0,0,0
813,HIL,0,0,1,0,0,0
1356,AGB,6,0,2,2,2,0
537,,0,0,0,10,0,0
443,RVB,0,0,0,11,0,0
582,ABP,0,0,0,4,0,0
1726,HIL,0,1,3,1,0,0
1641,RVB,0,0,0,6,0,0
1972,HIL,0,0,2,0,0,0
1934,GLN,2,0,0,0,0,0
596,ABP,1,0,3,0,0,0
484,CCH,0,0,1,0,0,0
276,CCH,0,0,0,9,0,0
588,ABP,0,0,8,0,0,0
1762,CCH,1,4,0,0,0,0
218,AWH,0,0,0,5,2,0
2077,VAL,0,0,1,0,0,0
745,WDL,1,0,5,0,0,0
577,ABP,0,0,1,0,0,0
280,CCH,0,0,0,10,0,0
172,VAL,0,0,0,10,0,0
2000,PSL,0,0,0,10,0,0
1549,HIL,3,0,1,0,0,0
178,VAL,0,0,0,8,0,0
775,WDL,0,0,10,0,0,0
2166,MAY,0,0,0,8,0,0
2137,VAL,0,0,1,0,0,0
270,CCH,8,0,0,0,0,0
2167,HIL,1,1,7,0,0,0
1755,PSL,0,0,0,10,0,0
1906,HIL,1,1,1,0,1,0
1671,ABP,1,0,9,0,0,0
824,PSL,0,0,0,6,0,0
899,AWH,0,0,1,0,0,0
1341,ABP,3,0,10,0,0,0
589,ABP,0,0,0,1,0,0
851,HIL,0,1,5,0,0,0
1659,,0,0,0,4,0,0
1782,PSL,0,0,0,10,0,0
562,,0,0,0,2,0,0
1678,HIL,0,0,2,0,0,0
414,MER,0,3,1,3,2,0
2178,HIL,0,0,4,0,0,0
119,MER,0,0,0,3,0,0
1913,PSL,0,0,0,10,0,0
1711,MAY,0,0,0,3,0,0
1389,ABP,0,0,0,4,0,0
99,AGB,0,2,6,3,2,0
593,ABP,0,0,2,1,0,0
2071,MER,0,4,0,1,1,0
182,VAL,0,0,0,1,0,0
1560,RVB,0,0,0,2,0,0
2126,AGB,0,0,0,6,0,0
714,AWH,0,0,0,11,0,0
1839,HIL,1,0,0,1,0,0
2060,AWH,0,0,0,8,0,0
846,ABP,0,0,6,0,0,0
250,AWH,10,0,10,1,0,0
833,VAL,0,0,6,0,0,0
1985,WDL,1,0,4,1,1,0
309,CCH,0,0,0,6,0,0
2042,,0,0,0,1,0,0
796,WDL,0,0,4,0,0,0
1692,HIL,0,0,0,1,0,0
1605,MAY,0,0,3,0,0,0
1632,ABP,0,3,5,0,0,0
130,MER,0,1,0,0,1,0
1729,HIL,0,0,6,0,0,0
1647,PSL,0,0,0,10,0,0
1270,VAL,6,0,6,0,0,0
475,AWH,1,3,2,1,0,0
264,CCH,0,0,2,1,1,0
328,CCH,0,2,4,0,0,0
1793,RVB,0,0,0,8,0,0
738,MAY,0,2,0,1,0,0
2008,WDL,0,0,4,0,0,0
1921,VAL,1,0,1,0,0,0
1851,MER,0,4,0,0,2,0
2017,HIL,2,0,0,0,2,0
590,ABP,3,0,7,0,0,0
2036,GLN,0,0,0,13,0,0
223,AWH,1,1,8,0,0,0
2165,MAY,0,0,0,4,0,0
243,AWH,9,0,0,0,0,0
591,ABP,0,0,0,2,2,0
2007,PSL,0,0,0,1,0,0
2122,AGB,0,0,0,8,0,0
242,AWH,2,0,0,0,0,0
1832,AWH,0,0,0,1,0,0
1477,HIL,1,0,0,0,0,0
603,ABP,0,0,5,0,0,0
1290,HIL,0,0,3,1,0,0
675,RVB,0,0,0,7,0,0
1628,VAL,2,0,0,0,0,0
485,CCH,0,0,0,10,0,0
1535,WDL,3,0,1,0,0,0
1789,ABP,2,2,10,0,0,0
592,ABP,3,0,5,0,0,0
1804,GLN,0,0,0,10,0,0
2113,MER,0,0,0,10,0,0
436,RVB,0,0,0,10,0,0
214,AWH,0,10,9,0,0,0
210,AWH,9,0,0,0,0,0
2109,PSL,0,0,0,2,0,0
2073,GLN,0,0,0,3,0,0
1171,MAY,0,0,0,1,0,0
570,,0,0,0,5,0,0
2180,MER,0,0,0,7,0,0
1781,PSL,0,0,0,10,0,0
193,VAL,0,0,1,0,0,0
1115,PSL,0,0,0,11,0,0
1116,PSL,0,0,0,10,0,0
604,ABP,0,0,0,1,0,0
388,ABP,1,0,1,1,0,0
1124,MAY,0,0,0,1,0,0
1774,ABP,1,5,7,1,1,0
1676,AWH,0,0,0,8,0,0
448,RVB,0,0,0,3,0,0
1893,ABP,0,0,0,2,0,0
1892,ABP,0,0,0,1,0,0
1437,RVB,0,0,0,10,0,0
1772,,0,0,0,1,0,0
481,CCH,0,2,4,0,0,0
1886,GLN,0,0,0,5,0,0
2186,CCH,0,0,0,2,0,0
345,MAY,0,0,3,0,0,0
1638,WDL,0,0,0,10,0,0
1778,GLN,0,0,0,10,0,0
1976,RVB,0,0,0,8,0,0
856,GLN,0,0,0,7,0,0
