empId,property_code,ely,tdy,lte,uns,abs
2447,RVB,0,0,0,1,0
2046,RVB,0,0,0,2,0
1679,RVB,0,0,0,1,0
2215,RVB,0,0,0,1,0
449,RVB,0,0,0,2,0
2379,HIL,0,0,1,0,0
2308,AGB,3,0,2,0,0
1373,CCH,1,0,0,0,0
2247,PSL,0,0,0,10,0
2342,RVB,0,0,0,4,0
2422,HIL,0,0,0,10,0
1406,HIL,0,0,5,0,0
925,AWH,0,0,5,0,0
2105,PSL,0,0,0,9,0
1474,AWH,0,0,0,9,0
405,ABP,0,0,0,3,0
2076,VAL,1,0,0,0,0
422,RVB,0,0,0,4,0
2082,VAL,0,0,1,0,0
240,AWH,0,4,4,0,4
2240,AWH,0,0,0,1,0
2267,OTH,0,0,0,5,0
1296,RVB,0,0,0,10,0
1665,AWH,0,0,0,11,0
2194,GLN,0,0,0,9,0
1402,WDL,0,1,0,0,0
2023,PSL,0,0,0,10,0
118,MER,0,0,0,11,0
2367,HIL,0,3,8,0,0
2433,HIL,0,0,3,0,0
1330,RVB,0,0,0,1,0
630,HIL,0,0,3,0,0
116,MER,1,3,6,0,0
681,GLN,0,6,2,0,0
2392,CCH,0,0,1,0,4
728,CCH,0,0,0,2,0
854,PSL,0,0,0,10,0
137,MER,0,0,0,11,0
2277,PSL,0,0,0,10,0
473,AWH,0,1,2,0,0
246,AWH,3,0,2,3,0
2210,AGB,0,0,0,5,0
1335,VAL,1,0,1,0,0
1872,AGB,0,0,8,0,0
2012,HIL,5,0,0,0,0
285,CCH,7,0,7,0,1
252,AWH,0,4,0,2,0
467,AWH,8,0,7,0,2
164,VAL,1,0,6,0,0
587,ABP,3,0,6,1,0
468,AWH,2,0,3,0,0
197,VAL,0,0,2,0,0
579,ABP,2,0,1,0,1
1724,HIL,0,0,1,0,0
255,AWH,0,0,0,7,0
2313,MAY,0,0,0,6,0
1168,VAL,2,0,7,0,0
74,AGB,2,1,7,0,0
1624,MAY,0,0,0,7,0
2156,WDL,0,0,2,0,0
1736,GLN,2,0,3,1,0
153,VAL,0,0,4,0,0
2297,HIL,0,0,2,0,0
1356,AGB,4,1,2,2,2
537,OTH,0,0,0,9,0
443,RVB,0,0,0,11,0
582,ABP,0,0,0,2,0
1641,RVB,0,0,0,7,0
1972,HIL,2,0,4,0,0
627,ABP,0,0,0,2,0
2341,PSL,0,0,0,10,0
596,ABP,0,1,7,0,0
484,CCH,0,0,0,2,0
588,ABP,0,0,6,0,0
1762,CCH,0,1,1,0,0
218,AWH,1,0,1,7,1
2437,MAY,0,0,0,4,0
2423,AGB,0,0,0,4,0
2256,AGB,0,0,0,1,0
172,VAL,0,0,0,10,0
1549,HIL,9,0,1,0,0
178,VAL,0,0,0,10,0
775,WDL,0,0,3,0,0
2166,MAY,0,0,0,9,0
2167,HIL,0,0,0,2,0
2385,OTH,0,0,0,4,0
1755,PSL,0,0,0,7,0
1671,ABP,1,1,4,0,0
824,PSL,0,0,0,6,0
899,AWH,0,1,1,0,0
1341,ABP,0,1,7,0,0
2241,HIL,0,0,0,1,0
2368,HIL,0,0,0,1,0
2363,WDL,0,0,3,0,0
201,VAL,0,0,2,0,0
851,HIL,0,0,6,0,0
1659,OTH,0,0,0,9,0
1782,PSL,0,0,0,8,0
562,OTH,0,0,1,0,0
1678,HIL,0,0,5,0,0
2243,HIL,0,0,0,1,0
95,AGB,1,1,3,0,0
414,MER,0,2,0,8,1
2397,MER,0,0,0,7,0
2431,MAY,0,0,0,6,0
370,MAY,0,0,0,1,0
119,MER,0,1,1,0,0
1913,PSL,0,0,0,10,0
2409,HIL,0,0,1,0,0
1711,MAY,0,0,0,2,0
427,RVB,0,0,0,1,0
1629,VAL,0,0,2,0,0
2355,CCH,0,0,0,7,0
1389,ABP,0,1,0,0,1
99,AGB,1,0,2,1,2
2296,RVB,0,0,0,14,0
2071,MER,0,3,0,2,0
1560,RVB,0,0,0,2,0
714,AWH,1,0,1,6,0
2060,AWH,0,0,0,7,0
2193,GLN,2,0,3,3,3
846,ABP,0,1,6,0,0
250,AWH,10,0,9,2,0
2446,RVB,0,0,0,1,0
2421,GLN,0,0,0,0,9
1985,WDL,1,0,0,0,1
1588,VAL,3,0,1,0,0
309,CCH,0,0,0,6,0
2042,OTH,0,0,0,5,0
2419,RVB,0,0,0,1,0
1692,HIL,0,0,0,2,0
1605,MAY,0,0,0,3,0
130,MER,0,2,0,3,1
2248,AGB,0,0,0,7,0
1729,HIL,0,0,5,0,0
1647,PSL,0,0,0,11,0
1270,VAL,2,0,8,0,0
264,CCH,0,0,0,1,0
2436,CCH,0,0,0,2,0
2322,MAY,0,0,0,5,0
1793,RVB,0,0,0,1,0
2245,OTH,0,0,0,9,0
1921,VAL,2,0,2,0,0
2429,HIL,0,0,4,0,0
2036,GLN,0,0,0,7,0
223,AWH,0,0,7,0,0
785,WDL,0,0,1,0,0
2454,CCH,0,0,0,2,0
2165,MAY,0,0,0,10,0
243,AWH,6,0,0,0,0
2268,CCH,0,0,0,2,0
591,ABP,1,0,0,3,3
2122,AGB,0,0,0,9,0
242,AWH,3,0,0,0,0
603,ABP,0,0,6,0,0
675,RVB,0,0,0,11,0
1628,VAL,0,0,1,0,0
1535,WDL,3,0,0,0,0
2003,MAY,0,0,0,7,0
1789,ABP,2,3,10,0,0
592,ABP,1,0,3,0,0
2318,MAY,0,0,0,8,0
2113,MER,0,0,0,10,0
214,AWH,0,8,9,0,0
210,AWH,8,0,0,1,0
2369,AWH,0,0,0,5,0
2073,GLN,0,0,0,6,0
570,OTH,0,0,0,5,0
2180,MER,0,0,0,6,0
1781,PSL,0,0,0,9,0
1017,HIL,0,0,0,4,0
1115,PSL,0,0,0,13,0
2406,VAL,0,0,3,0,0
1116,PSL,0,0,0,11,0
604,ABP,0,0,0,1,0
388,ABP,0,0,0,1,0
1124,MAY,3,0,4,4,1
1774,ABP,4,2,6,3,1
1676,AWH,0,0,0,9,0
1886,GLN,0,0,0,3,0
1532,MAY,0,0,0,7,0
1638,WDL,4,0,3,2,1
1778,GLN,0,0,0,10,0
1976,RVB,0,0,0,6,0
1374,OTH,0,0,0,2,0
2094,MAY,0,0,0,7,0
90,AGB,0,1,4,2,0
1761,PSL,0,0,0,10,0
1696,AWH,0,0,0,7,0
251,AWH,0,2,2,6,0
1154,AWH,0,0,0,4,0
78,AGB,1,0,0,1,0
144,MER,0,4,5,1,0
2395,CCH,0,0,0,11,0
1243,RVB,0,0,0,8,0
413,MER,0,0,0,3,2
1011,VAL,0,0,0,7,0
83,AGB,0,0,6,0,0
2236,AWH,0,1,2,4,1
2434,OTH,0,0,0,4,0
2187,HIL,1,0,1,0,0
166,VAL,0,0,1,0,0
1848,RVB,0,0,0,4,0
1010,AWH,1,0,2,6,0
972,MAY,0,0,0,1,0
496,WDL,0,0,0,8,0
439,RVB,0,0,0,8,0
578,ABP,0,0,1,0,0
1485,MAY,0,0,0,10,0
2250,GLN,0,0,0,5,0
1297,RVB,0,0,0,3,0
1958,RVB,0,0,0,2,0
576,ABP,2,0,0,0,0
1542,PSL,0,0,0,10,0
1135,RVB,0,0,0,2,0
569,OTH,0,0,0,9,0
1710,WDL,1,0,2,1,0
789,WDL,0,0,7,0,0
1863,AWH,0,0,0,10,0
362,MAY,0,0,0,2,0
313,CCH,0,0,0,10,0
2340,HIL,0,0,1,0,0
876,ABP,0,0,0,1,0
2095,ABP,0,0,0,2,0
395,ABP,4,0,5,0,0
2154,MAY,0,0,0,11,0
791,WDL,1,0,4,0,0
1885,ABP,0,0,0,2,0
2387,MER,0,0,0,2,0
158,VAL,0,0,7,0,0
2312,AGB,2,0,1,0,0
421,MER,0,2,0,1,0
540,OTH,0,0,0,13,0
597,ABP,0,1,0,0,0
339,MAY,0,0,0,8,0
2353,AWH,0,0,0,0,7
1823,GLN,0,0,0,9,0
303,CCH,0,0,0,3,0
1401,HIL,2,0,8,0,0
2443,MER,0,0,0,5,0
1591,PSL,0,0,0,10,0
2097,HIL,0,0,6,0,0
169,VAL,2,0,2,1,0
2090,PSL,0,0,0,12,0
2129,MER,0,1,0,3,0
2411,VAL,4,0,2,0,0
754,WDL,0,0,1,0,0
1649,CCH,0,0,0,4,0
305,CCH,1,0,0,0,0
271,CCH,0,0,0,11,0
1450,CCH,0,0,0,11,0
680,GLN,0,0,0,7,0
100,AGB,0,0,1,1,1
1384,HIL,0,0,0,1,0
194,VAL,0,0,4,0,0
2231,WDL,0,0,0,0,0
407,ABP,0,2,9,0,1
2376,VAL,0,0,0,10,0
2335,ABP,10,0,3,0,0
2364,WDL,0,0,0,4,2
606,ABP,2,0,1,3,3
2402,HIL,0,0,2,0,0
123,MER,3,0,3,0,0
1033,MER,0,1,3,3,0
1635,AGB,0,0,0,8,0
2377,HIL,0,0,5,0,2
324,CCH,0,0,0,11,0
2459,CCH,0,0,0,2,0
2059,VAL,1,0,1,1,0
437,RVB,0,0,0,8,0
471,AWH,2,0,0,4,1
2378,HIL,1,0,1,0,0
1813,MER,0,2,0,1,0
147,VAL,0,0,0,13,0
2449,VAL,0,0,1,0,0
209,AWH,0,3,2,0,0
1896,VAL,0,0,1,0,0
124,MER,0,1,0,7,2
499,WDL,0,0,4,0,0
1157,HIL,0,0,1,0,0
1856,HIL,0,0,1,0,0
2006,VAL,2,0,0,0,0
1541,WDL,0,0,0,1,0
2414,OTH,0,0,0,3,0
208,AWH,0,0,0,3,8
2303,OTH,0,0,0,8,0
2211,WDL,0,0,3,0,0
343,MAY,0,0,0,5,0
609,ABP,0,0,0,1,0
2213,HIL,0,0,2,0,0
632,HIL,0,0,6,0,0
982,MAY,0,1,0,1,0
2412,WDL,0,0,0,1,0
2262,VAL,3,0,6,0,0
129,MER,0,4,1,4,2
521,PSL,0,0,0,9,0
434,RVB,0,0,0,6,0
115,MER,0,3,3,1,1
1408,AGB,2,0,1,1,0
2217,MER,0,0,0,9,0
233,AWH,0,0,0,0,6
404,ABP,1,0,8,0,0
389,ABP,2,0,7,1,2
492,WDL,2,1,6,0,2
2293,CCH,0,0,0,7,0
648,HIL,2,0,0,0,1
1480,OTH,0,0,0,1,0
2408,HIL,0,0,1,0,0
226,AWH,0,0,0,10,0
1543,HIL,0,0,5,0,1
1924,VAL,0,0,0,10,0
2205,ABP,0,0,4,1,5
2128,MER,0,0,0,0,1
2177,GLN,0,0,0,9,0
955,RVB,0,0,0,7,0
871,WDL,1,0,2,1,0
1877,VAL,0,0,6,0,0
220,AWH,0,0,0,10,0
2442,GLN,0,0,1,0,0
2294,RVB,0,0,0,3,0
547,OTH,0,1,0,0,0
133,MER,0,0,0,2,2
2365,AWH,1,0,0,4,0
1464,VAL,0,0,4,1,0
2170,MAY,0,0,0,6,0
185,VAL,0,0,3,1,0
354,MAY,0,4,7,0,1
2066,PSL,0,0,0,1,0
994,PSL,0,0,0,10,0
1922,VAL,0,0,1,0,0
396,ABP,3,2,5,3,0
397,ABP,0,3,5,2,4
2064,RVB,0,0,0,2,0
2332,OTH,0,0,0,5,0
1938,AWH,0,0,0,2,0
2407,AGB,0,0,0,7,0
87,AGB,0,0,3,2,2
1472,MER,0,0,0,7,0
2418,RVB,0,0,0,4,0
1771,RVB,0,0,0,7,0
489,MAY,0,0,1,10,0
2135,PSL,0,0,0,9,0
2333,OTH,0,0,0,5,0
553,OTH,0,0,0,10,0
2356,CCH,1,0,0,1,3
1527,RVB,0,0,0,8,0
2399,ABP,3,0,8,0,0
1889,ABP,0,0,0,1,0
213,AWH,3,3,2,1,1
2024,VAL,0,0,0,1,0
1784,PSL,0,0,0,11,0
2184,CCH,0,0,0,0,1
1915,OTH,0,0,0,1,0
1993,ABP,4,0,7,2,3
1340,RVB,0,0,0,5,0
616,ABP,0,0,0,2,0
1326,AWH,0,3,1,3,0
976,RVB,0,0,0,1,0
1927,PSL,0,0,0,10,0
2452,ABP,0,0,0,0,1
611,ABP,0,3,7,0,0
2374,VAL,3,0,1,0,0
488,MAY,0,0,0,1,0
1899,PSL,0,0,0,10,0
1433,AWH,4,0,0,5,0
905,PSL,0,0,0,10,0
2320,GLN,0,0,0,7,0
402,ABP,0,0,1,0,1
2290,ABP,7,0,5,0,1
1338,AWH,0,0,0,9,0
1440,RVB,0,0,0,9,0
2455,CCH,0,0,0,1,0
2456,CCH,0,0,0,2,0
154,VAL,0,0,2,0,0
2305,WDL,0,0,1,0,0
1490,WDL,0,0,0,1,0
652,HIL,0,0,0,9,0
2390,GLN,0,0,0,2,0
2204,CCH,0,1,1,0,0
1975,VAL,1,0,0,0,0
1068,GLN,0,0,0,0,4
181,VAL,3,0,0,0,0
1445,HIL,0,0,1,0,0
2343,RVB,0,0,0,3,0
156,VAL,5,0,3,0,0
682,GLN,0,0,0,4,0
1733,PSL,0,0,0,13,0
2438,CCH,0,0,0,3,0
1847,CCH,0,0,1,0,0
2439,CCH,0,0,0,2,0
2282,AGB,0,0,0,8,0
2373,VAL,0,0,4,0,0
2286,VAL,1,0,7,0,0
191,VAL,0,1,0,2,0
2326,VAL,1,0,0,1,0
959,CCH,0,0,0,4,0
716,AWH,0,0,0,0,2
432,RVB,0,0,0,9,0
447,RVB,0,0,0,1,0
1199,ABP,2,0,3,1,1
1868,RVB,0,0,0,7,0
1002,RVB,0,0,0,1,0
1653,PSL,0,0,0,11,0
134,MER,0,0,0,0,3
135,MER,1,0,0,0,0
348,MAY,0,0,0,7,0
2104,HIL,2,0,6,0,0
1467,PSL,0,0,0,1,0
565,OTH,0,0,0,4,0
997,AWH,1,3,0,2,0
563,OTH,0,0,0,3,0
294,CCH,0,0,0,6,0
2331,AGB,3,1,1,1,2
1831,AWH,0,0,0,4,0
523,PSL,0,0,0,12,0
1996,MAY,0,0,0,9,0
2435,MAY,0,0,0,7,0
1812,VAL,2,0,4,5,0
195,VAL,0,0,3,0,0
739,MAY,0,0,0,5,0
2197,CCH,0,0,0,6,0
88,AGB,0,0,4,0,0
94,AGB,2,0,6,0,0
2391,PSL,0,0,0,10,0
319,CCH,0,0,1,0,0
698,GLN,0,0,0,10,0
1255,RVB,0,0,0,7,0
140,MER,0,0,0,0,6
1698,RVB,0,0,0,5,0
1903,MER,0,0,0,10,0
539,OTH,0,0,0,10,0
1950,VAL,1,0,2,1,0
503,WDL,7,0,4,0,0
462,RVB,0,0,0,8,0
2100,RVB,0,0,0,8,0
211,AWH,5,1,2,3,0
216,AWH,0,1,10,0,0
320,CCH,0,0,0,5,0
474,AWH,2,0,3,3,0
176,VAL,0,0,7,0,0
2348,WDL,0,0,2,0,0
2092,GLN,0,0,0,7,0
2139,VAL,0,0,1,0,0
763,WDL,0,3,9,1,0
549,OTH,0,0,1,1,0
417,MER,0,0,0,7,0
2255,GLN,0,0,0,2,3
112,MER,0,2,0,2,4
2132,MER,2,0,3,2,1
2246,OTH,0,0,0,1,0
1163,AWH,0,0,0,10,0
1828,RVB,0,0,0,11,0
1496,MER,0,0,0,0,1
1039,HIL,0,0,0,10,0
184,VAL,6,0,6,0,0
1957,HIL,0,0,0,10,0
491,WDL,0,0,0,9,0
2055,RVB,0,0,0,5,0
224,AWH,7,0,6,0,2
1110,CCH,0,0,0,1,0
2288,AGB,0,0,2,2,2
1999,AGB,1,0,2,0,0
1814,PSL,0,0,0,1,0
2164,HIL,0,0,0,2,0
1281,OTH,0,0,0,7,0
340,MAY,0,0,7,1,3
1746,GLN,0,0,7,0,0
1884,VAL,0,0,0,5,0
2195,WDL,0,0,1,0,0
1773,OTH,0,0,0,4,0
561,OTH,0,0,0,5,0
2299,VAL,0,0,1,1,0
2208,RVB,0,0,0,2,0
1642,RVB,0,0,0,8,0
113,MER,0,0,0,7,0
1998,CCH,0,3,2,0,0
2203,AGB,2,0,3,0,1
411,AGB,1,0,0,6,3
2264,ABP,4,1,6,1,0
2445,RVB,0,0,0,2,0
806,WDL,0,0,2,0,0
2328,VAL,1,0,5,0,0
2358,WDL,0,0,4,0,0
2143,ABP,0,0,0,1,0
335,MAY,8,0,8,0,0
2252,GLN,0,0,0,8,0
465,AWH,0,0,4,0,0
1842,PSL,0,0,0,12,0
2362,PSL,0,0,0,10,0
1846,CCH,0,0,0,8,0
457,RVB,0,0,0,1,0
1364,VAL,0,0,2,0,1
913,WDL,0,0,0,2,0
2098,HIL,7,0,0,0,0
349,MAY,0,0,0,5,0
111,AGB,1,0,6,0,0
2281,OTH,0,0,0,1,0
212,AWH,0,8,5,0,1
1981,AGB,3,0,3,1,4
2357,WDL,0,0,3,0,0
2201,VAL,0,0,1,1,0
424,RVB,0,0,0,10,0
435,RVB,0,0,0,9,0
1715,PSL,0,0,0,9,0
2359,WDL,0,0,0,7,0
865,ABP,0,0,0,5,0
300,CCH,0,2,7,1,0
707,VAL,1,2,0,0,7
638,HIL,0,0,5,0,0
1043,ABP,8,0,5,1,1
254,AWH,0,0,6,1,2
239,AWH,0,0,0,7,0
2279,RVB,0,0,0,2,0
2298,ABP,2,0,5,1,1
2381,CCH,1,0,1,0,0
1040,PSL,0,0,0,9,0
1095,AWH,0,0,0,5,0
472,AWH,0,8,4,0,0
2080,VAL,1,0,0,0,0
1152,PSL,1,0,0,0,0
1055,PSL,0,0,0,10,0
1363,VAL,0,0,1,0,0
2375,VAL,2,0,5,0,0
644,HIL,0,1,0,0,0
1595,GLN,0,0,0,1,0
1391,ABP,0,1,9,0,0
861,MAY,0,0,0,8,0
1088,MER,0,4,0,1,1
816,HIL,0,0,0,8,0
1883,ABP,0,0,0,2,0
2230,RVB,0,0,0,3,0
374,CCH,0,0,0,0,10
1193,MAY,0,0,0,0,4
375,AWH,0,0,0,0,6
546,OTH,0,0,0,5,0
639,HIL,0,0,0,11,0
2317,GLN,0,0,2,4,1
409,ABP,0,0,0,1,0
2140,MER,2,1,4,1,0
143,MER,1,3,3,2,0
1417,AWH,0,0,0,1,0
221,AWH,0,0,9,0,2
863,ABP,0,0,1,0,0
391,ABP,0,0,6,2,2
660,MER,0,0,0,10,0
771,WDL,1,0,0,0,0
1032,OTH,0,0,0,5,0
2323,HIL,5,0,1,1,0
1758,MAY,0,0,0,6,0
2420,PSL,0,0,0,10,0
2441,MER,0,0,0,3,0
1101,MER,0,0,0,7,8
2450,OTH,0,0,0,3,0
2089,GLN,0,0,0,4,0
2235,WDL,0,0,3,0,0
1023,RVB,0,0,0,2,0
2161,HIL,0,0,3,1,0
708,VAL,2,0,2,0,0
108,AGB,2,3,6,1,1
1181,AWH,0,0,0,0,8
2400,PSL,0,0,0,8,0
2146,MAY,0,0,0,4,0
80,AGB,5,1,2,0,0
1034,AWH,0,0,0,4,0
1973,AGB,0,0,2,0,0
2339,RVB,0,0,0,7,0
231,AWH,1,0,0,1,0
2029,HIL,1,0,2,0,0
2144,AWH,4,0,0,5,1
215,AWH,0,0,0,8,0
2334,AWH,1,1,0,7,0
1264,GLN,0,0,0,10,0
2316,GLN,0,0,0,4,0
219,AWH,0,0,0,10,0
683,GLN,0,0,2,0,0
2321,GLN,0,0,0,4,0
1689,MAY,0,0,0,1,0
624,ABP,3,0,0,0,0
867,ABP,1,0,0,0,1
2424,MAY,0,0,0,9,0
2388,MAY,0,0,0,8,0
2457,MAY,0,0,0,3,0
2338,AGB,0,0,0,3,0
2275,HIL,0,0,1,0,0
810,HIL,1,0,5,1,0
2206,MAY,0,0,0,7,0
196,VAL,0,0,0,5,0
1286,MAY,0,0,0,1,0
1707,VAL,5,0,0,0,0
1188,AWH,0,0,2,2,0
2028,MER,1,0,1,1,2
2448,MER,0,0,0,3,0
2222,RVB,0,0,0,5,0
864,ABP,1,0,7,0,1
2337,ABP,0,0,0,3,0
807,WDL,1,0,6,0,0
525,PSL,0,0,1,0,0
780,WDL,0,0,6,0,0
1492,AWH,0,0,0,1,0
526,PSL,0,0,0,10,0
